,city,name,rating,votes
121,Sharjah,Nayaab Haandi,4.3,13039
122,Sharjah,Al Mukhtar Bakery - مخبز المختار,4.3,1298
123,Sharjah,Chili's,4.3,378
124,Sharjah,Little China Restaurant,4.3,808
125,Sharjah,Kulfilicious,4.3,1825
126,Sharjah,Italiere,4.3,1950
127,Sharjah,Cold Stone Creamery,4.3,413
128,Sharjah,Makani Restaurant - مكاني رستورانت,4.3,2945
129,Sharjah,Krispy Kreme,4.3,946
130,Sharjah,Kullaj Omar,4.3,363
131,Sharjah,Pappa Roti,4.3,161
132,Sharjah,PizzaExpress,4.3,740
133,Sharjah,Tim Hortons,4.3,430
134,Sharjah,The Pizza Company,4.3,226
135,Sharjah,Chin Chin,4.3,362
136,Sharjah,Aroos Damascus - عروس دمشق,4.2,7929
137,Sharjah,Nando's,4.2,2828
138,Sharjah,Haji Ali Juice Centre,4.2,4505
139,Sharjah,Crisol,4.2,311
140,Sharjah,Occassions,4.2,350
141,Sharjah,Emirates Sea,4.2,211
142,Sharjah,Kabab Bombay Cafeteria,4.2,199
143,Sharjah,Shakespeare and Co. - شكسبير اند كو,4.2,500
144,Sharjah,Falafel Frayha- فلافل فريحة,4.2,2981
145,Sharjah,Jimmy's Shack,4.2,3649
146,Sharjah,Tim Hortons,4.2,751
147,Sharjah,DineBest,4.2,2113
148,Sharjah,Emirgan Sutis,4.2,204
149,Sharjah,Nayaab Haandi,4.2,9872
150,Sharjah,Salkara Restaurant,4.2,5099
151,Sharjah,Raju Omlet,4.2,4143
152,Sharjah,Madeenat Haridwar,4.2,153
153,Sharjah,Cinnabon,4.2,724
154,Sharjah,On The Wood - عالحطب,4.2,3516
155,Sharjah,Safartas - سفرطاس,4.2,900
156,Sharjah,Kreich - كريش,4.2,120
157,Sharjah,Sasya Pure Veg,4.2,148
158,Sharjah,Qasr Sialkot Cafeteria,4.2,113
159,Sharjah,Kulfilicious,4.2,859
160,Sharjah,The Good Bowl,4.2,208
161,Sharjah,Sizzling Wok - Citymax Hotel Sharjah,4.1,119
162,Sharjah,Chin Chin,4.1,6036
163,Sharjah,Kamat,4.1,4012
164,Sharjah,Chutney,4.1,2534
165,Sharjah,Al Miqat,4.1,2233
166,Sharjah,Spicy Land Restaurant,4.1,3411
167,Sharjah,TGI Fridays,4.1,1001
168,Sharjah,Aleppo Grills (Al Mashawi Al Halabya) - المشاوي الحلبية,4.1,4063
169,Sharjah,SOL,4.1,1053
170,Sharjah,Deccan Delight,4.1,2636
171,Sharjah,Zushi,4.1,2502
172,Sharjah,Mara Cafe,4.1,807
173,Sharjah,Sumo Sushi & Bento,4.1,1597
174,Sharjah,Bangkok Town,4.1,2066
175,Sharjah,Mithaas Fast Food,4.1,215
176,Sharjah,Road House American Diner,4.1,3184
177,Sharjah,Al Sindbad Cafeteria,4.1,2271
178,Sharjah,French Cakes,4.1,191
179,Sharjah,Ice & Berry,4.1,169
180,Sharjah,Al Loqmah Al Laziziah,4.1,538
181,Sharjah,Mister Baker,4.1,150
182,Sharjah,Mister Baker,4.1,213
183,Sharjah,Al Fanar Restaurant & Café - الفنر,4.1,381
184,Sharjah,Hi Broast,4.1,193
185,Sharjah,Food Bowl,4.1,194
186,Sharjah,Foodbook Restaurant,4.1,280
187,Sharjah,DineBest,4.1,1149
188,Sharjah,Portsaid Vegetarian Restaurant,4.1,152
189,Sharjah,Chili's,4.1,1200
190,Sharjah,Kukko Restaurant,4.1,5494
191,Sharjah,Gazebo - جازيبو,4.1,520
192,Sharjah,Taza,4.1,264
193,Abu_Dhabi,Ushna,4.9,502
194,Abu_Dhabi,Punjab Grill,4.9,581
195,Abu_Dhabi,Zuma,4.9,599
196,Abu_Dhabi,The Cheesecake Factory,4.8,1121
197,Abu_Dhabi,Ola Brasil Restaurant,4.7,908
198,Abu_Dhabi,Pizza Di Rocco,4.7,18881
199,Abu_Dhabi,Tamba,4.7,726
200,Abu_Dhabi,Texas Roadhouse,4.7,549
201,Abu_Dhabi,Hakkasan - Emirates Palace,4.7,276
202,Abu_Dhabi,Mosaic,4.6,7361
203,Abu_Dhabi,Saudi Kitchen - المطبخ السعودي,4.6,371
204,Abu_Dhabi,Nolu's,4.6,5215
205,Abu_Dhabi,Burro Blanco,4.6,789
206,Abu_Dhabi,The Meat Co,4.5,276
207,Abu_Dhabi,Denny's - دينيز,4.5,4334
208,Abu_Dhabi,Madang Korean,4.5,558
209,Abu_Dhabi,Tandoori Corner,4.5,9215
210,Abu_Dhabi,Pizza Di Rocco,4.5,7347
211,Abu_Dhabi,Texas de Brazil,4.5,1406
212,Abu_Dhabi,Bentley Kitchen,4.5,274
213,Abu_Dhabi,Almayass,4.5,453
